"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009640483733","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009640483733","","Outside Sales Professional","Alleviation Enterprise LLC","Smyrna, TN","2025-02-17","","direct_data","yearly",82000.0,98000.0,"USD",False,"","","sponsored","","We are dedicated to enhancing not only the lives of our valued clients but also the personal and professional growth of our people. We've grown 32% since last year, creating a need to expand our sales team into several key local markets, and we're on the lookout for an individual with a competitive background who is hungry for career advancement, performance\\-based compensation, and an environment surrounded by a team of like\\-minded and high\\-achieving peers.



This sales role requires a high level of autonomy and independence, but you will be trained and receive ongoing support and advanced training from a high\\-performing veteran sales team. The ideal person for this role is someone who is highly confident, is not afraid of the daily grind, can focus on their goals, and excels at working through adverse situations with determination and enthusiasm.

**Position Description:**



As an outside sales professional you will cover a dedicated assigned territory. After receiving comprehensive classroom and field training with one or more of our accomplished sales trainers, you will make sales calls to small\\- and medium\\-sized businesses across various industries in your territory. You will schedule and attend in\\-person meetings with business owners and key decision\\-makers, introducing them to industry\\-leading supplemental insurance solutions tailored to fit their employee’s needs. You will often work with your clients’ employees on an individual basis as well as conduct presentations for employee groups ranging from 5 to 100\\+.

**Core Responsibilities:**

* Utilize our customized Salesforce CRM to curate leads and generate clients while expanding your professional network within your territory and neighboring communities
* Respond to client inquiries via phone, email, or text as needed
* Schedule meetings with potential and existing clients to understand their insurance needs
* Attend scheduled calls and meetings with your sales manager and team
* Personally visit new businesses, develop relationships with local business owners, follow up on referral leads, and reservice existing clients
* Build and nurture your own client portfolio
* Collaborate with your sales team manager to set monthly and quarterly sales targets for yourself
* Plan and adhere to your weekly schedule and working hours; submit your schedule to your sales team manager each week
* Record daily work stats and sales activity updates at the end of each work day

**The Ideal Candidate For This Role Possesses:**

* **Personality:** You are outgoing and personable, you build trust easily with people, and you are someone who is invigorated and not intimidated by befriending strangers and conversing with new acquaintances.
* **Confidence:** Your confidence assures clients that their time spent with you is worthwhile and that the products you're offering add value. Addressing objections and pushback should come naturally.
* **Coachable:** You embrace feedback whether positive or critical and apply it where it’s needed to improve your results. The ability to adapt and think outside the box is crucial for this role.
* **Mental Toughness:** You will face daily challenges in this sales role, so resilience is a required strength. You must be someone who is able to overcome adversity situations and not allow them derail your entire work day or week.
* **Work Ethic:** You expect personal and professional growth from yourself more than anyone else expects it of you. You don’t quit until the goal is met or you have given your absolute best effort toward meeting it.

**QUALIFICATIONS \\& DESIRED SOFT SKILLS:**

* Strong interpersonal skills with the ability to build genuine connections quickly.
* A strong passion for assisting others, resilience in challenging situations, and a track record of exceeding expectations in sales, athletics, or leadership roles.
* Clearly\\-defined personal goals, a positive attitude, and optimistic outlook.
* Quick\\-thinking with exceptional situational awareness and critical thinking skills.
* Hunger for learning and growth, strong time management abilities, and the capability to work independently.
* Individuals with a background in competitive sports, coaching, athletics, or competitive leagues are among our top performers

**ADDITIONAL QUALIFICATIONS:**

* Pass a high\\-level pre\\-employment background check
* Active Drivers License and reliable transportation
* Active Health \\& Life Insurance Producer license in your resident state (or willing to obtain \\- study course provided and state licensing fees reimbursement available)
* Bachelor's degree or minimum of 4 years post\\-high school work experience (candidates within 6 months of degree completion or less than 4 years of professional work experience with relevant sales or athletic background will be considered)

**COMPENSATION \\& BENEFITS:**

* Comprehensive classroom and field training program
* Weekly draw pay option plus commissions (no caps and short sales cycle\\-3 business days) as well as monthly cash sales bonuses, quarterly stock share bonuses, incentive trips, and vested renewal commissions
* Health, dental and vision benefits offered after 60\\-days of employment
* Performance\\-based promotions
* Control of your schedule based on results achieved rather than time worked
* Continuing professional development classes, advanced sales trainings, and leadership development classes
* Culture of camaraderie, friendly competition, and success mindset



Apply now to be part of a team that embraces challenges and rewards effort!



www.alvtn.com

Job Type: Full\\-time

Pay: $82,000\\.00 \\- $98,000\\.00 per year","","https://www.glassdoor.com/Overview/W-EI_IE9454064.htm","","","","","",""
"gd-1009641123147","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009641123147","","Grants Specialist","Devcare","Nashville, TN","2025-02-17","","direct_data","hourly",19.0,25.0,"USD",False,"","","organic","","Land and Water Conservation Fund Program Grants Specialist. Administer of grants for LWCF program Includes applications, Contracts, Grant Management System and activities, inspections, etc. Comply with federal deadlines and regulations.

**Overview**

We are seeking a skilled Grant Writer to join our team. The ideal candidate will be responsible for securing funding through grants and other sources to support our organization's mission and projects.

**Duties**

* Research and identify grant funding opportunities
* Write clear, compelling, and persuasive grant proposals
* Manage the grant application process from start to finish
* Maintain accurate records of grants, submissions, and outcomes
* Collaborate with internal teams to gather information for proposals
* Negotiate and manage contracts related to grants
* Utilize tools such as DocuSign for document management
* Procure necessary documentation for grant applications
* Oversee contractor management related to grant\\-funded projects
* Implement change management strategies as needed

**Skills**

* Proficient in business development strategies related to grant funding
* Strong research skills to identify appropriate grant opportunities
* Experience in contract negotiation and management
* Familiarity with tools like DocuSign for document handling
* Excellent proposal writing abilities
* Knowledge of records management practices
* Ability to manage contractors effectively
* Understanding of change management principles in a nonprofit setting

Job Type: Contract

Pay: $19\\.00 \\- $25\\.00 per hour

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE270626.htm","https://media.glassdoor.com/sql/270626/devcare-solutions-squarelogo-1402499743316.png","","","","",""
"gd-1009639730467","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009639730467","","Sales Professional","Elevated Financial Benefits","","2025-02-16","","direct_data","yearly",75000.0,125000.0,"USD",True,"","","sponsored","","Our company is expanding in several key markets and is seeking individuals to be part of our organization's leadership and sales team. We are looking to continue to grow our presence in Tennessee. We offer competitive compensation, advancement and a position to make an impact.

Our position offers:

* $75k\\-125k in year 1 income range for our top new reps
* \\*Additional compensation for qualified trainers
* Aggressive results\\-based promotion structure (not tenure\\-based)
* Company\\-paid international trips
* Monthly residual income on sales
* Sales territory within 15\\-45 miles of your home
* No overnight travel or weekends required (available if desired)

Sell something that MATTERS. Offering our products you will experience….

* An Increasing market need for our products
* Simple, short sales processes
* A protected client base
* Providing a peace of mind for your clients
* Making a DIFFERENCE for families
* Pride in the service you provide and the company you represent

We provide:

* Extensive Hands\\-on field training
* Daily support and sales coaching
* A time\\-tested leads system that works
* Advanced sales systems, scripts, and resources provided by the company

We could be the right fit, if you:

* Prefer being in front of people, rather than a computer
* Are a high\\-achiever
* Want to be paid what you are worth
* Are able to manage yourself and your time well
* Want freedom and flexibility from your hard work
* Enjoy helping people
* Are goal\\-oriented
* Want to advance quickly up the “ladder”
* Desire high\\-income potential
* Are a natural leader

To learn more about how you can make our career your last, APPLY NOW.

Specifics on daily responsibilities and job description will be covered more in detail in the interview process. Our career is customizable for the right person. We look forward to a conversation with you to see if you are it!!

APPLY NOW and to get your future started.

Job Type: Full\\-time

Pay: $75,000\\.00 \\- $125,000\\.00 per year

Benefits:

* Flexible schedule

Compensation Package:

* Bonus opportunities
* Commission pay

Schedule:

* Monday to Friday

Education:

* High school or equivalent (Required)

Experience:

* Sales: 3 years (Preferred)

License/Certification:

* Driver's License (Required)

Work Location: On the road","","https://www.glassdoor.com/Overview/W-EI_IE8509533.htm","","","","","",""
"gd-1009639187508","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009639187508","","Selection Specialist - Spanish Titles","Junior Library Guild","United States","2025-02-15","","direct_data","yearly",40000.0,45000.0,"USD",False,"","","sponsored","","Are you passionate about children’s and young adult books? Do you know what makes a book engaging for young readers? Junior Library Guild (JLG) is looking for a **bilingual English/Spanish Selection Specialist** to help curate top\\-quality books for schools and libraries.



At JLG, we take the guesswork out of book selection by choosing titles that kids will actually read. We carefully review and handpick books that will circulate well in school and public libraries. If you have experience selecting books—whether as a school librarian specialist or educator—we’d love to hear from you!

 **What You'll Do:**

* Select high\\-quality Spanish\\-language books for our three Spanish\\-language categories, ensuring they appeal to young readers and have high circulation potential.
* Evaluate a high volume of books across different genres and age levels, from early elementary to middle school.
* Make recommendations based on literary quality, student engagement, and strong circulation potential.
* Collaborate with the JLG team to help shape our book selections.
* Track and evaluate titles.
* Meet constant deadlines for evaluating books and submitting selections, ensuring timely delivery of recommendations for our clients.

 **What We're Looking For:**

* 3\\+ years working in libraries or in K to 12 education.
* Fluency in Spanish and English (reading, writing, and speaking).
* Strong knowledge of children’s and young adult literature, with a focus on selecting books that will circulate well with young readers.
* Excellent written and verbal communication skills.
* Ability to meet constant deadlines while managing multiple tasks and maintaining quality selections.
* Familiarity with library trends and literacy is a plus!

 **Schedule:**

* Monday to Friday, Eastern Standard Time, work hours between 8 AM and 6 PM

 **JLG offers a great benefits package, including:**

* Medical, Dental, and Vision
* 401k with Match
* Short\\-Term and Long\\-Term Disability
* Life Insurance
* Generous Paid Time Off

**About Junior Library Guild:**



Junior Library Guild (JLG) is the premier book review and collection development service that helps school and public libraries acquire the best new children’s and young adult books. For over 90 years, JLG has supported librarians in their mission to provide top\\-quality reading material for young readers, with a focus on high circulation potential and literary excellence. Through our monthly subscription service, we handpick a selection of books that students will love to read.

Job Type: Full\\-time

Pay: $40,000\\.00 \\- $45,000\\.00 per year","","https://www.glassdoor.com/Overview/W-EI_IE232322.htm","https://media.glassdoor.com/sql/232322/junior-library-guild-squarelogo-1519057712121.png","","","","",""
"gd-1009639108715","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009639108715","","Intake Specialist - Home Health/Hospice","Traditions Health","Nashville, TN","2025-02-15","","direct_data","yearly",38926.0,56700.0,"USD",False,"","","organic","","This is an in\\-office position: M\\-F 9A\\-6P  

Located @ 6840 Carothers Pkwy Franklin, Tennessee 37067  

  

Traditions Health is highly invested in not only your overall health, but also your future. This is reflected in the benefits we provide and the opportunities we make available to our employees. Benefits for eligible employees include:  

* Full range of health insurance\\-medical (BCBS with 3 medical plan options), dental \\& vision. (Kaiser Permanente offered to California Employees)
* Health Savings Account with employer contribution
* Company sponsored life insurance
* Supplemental life insurance
* Short and long\\-term disability insurance
* Accident \\& Critical Illness
* Employee Assistant Program
* Generous PTO (that increases with your tenure)
* 401(k) Retirement Plan with Employer Match
* Mileage reimbursement
* Continuing education opportunities

  

The Intake Specialist serves as an administrative support in the back office of the organization, as well as support for current Intake Coordinators. The Intake Specialist assists in referral and intake procedures, scheduling, as well as supporting clients, families and referral sources via telephone, e\\-mail and fax.
Job Qualifications
Education:* High school diploma or equivalent
* Some college, or higher education is preferred


License/Certification:* Current Driver’s License
* Reliable transportation and valid auto liability insurance

  

Experience:* Home Health and/or Hospice operations or logistics experience is extremely helpful
* 2 years or more in a healthcare intake or clinical setting, Home Health or Hospice preferred


Knowledge and Skills:* Must be organized, detail\\-oriented, and possess effective communication skills.
* Must be capable of prioritizing and handing multiple tasks of critical importance and function well in an atmosphere of stress.
* Possess knowledge of medical terminology within Home Health or Hospice
* Must provide excellent customer service to clients and maintain professionalism.
* Knowledge of the EMR Home Care Home Base strongly desired.
* Knowledge of Intake/Referral platforms such as NaviHealth, CarePort, Curaspan, All Scripts etc\\- preferred.
* Ability to effectively and clearly communicate with multiple agency staff, while executing daily tasks.
* Must maintain the privacy and confidentiality of all staff and clients in line with HIPAA standards.


Essential Functions:* Quickly and accurately process patient referrals for home health or hospice.
* Communicate with clinical staff regarding referral questions regarding diagnosis, DME or transportation.
* Communicate with admissions nurses regarding new referrals, scheduling, and post\\-admission needs.
* Review and process intake workflow each day, accurately and timely.
* Follows all procedures as outlined in Standard Operating Procedures (SOP).
* Works within the policies as defined by Traditions Health.
* First responders to phones\\- Ensuring phones are answered and calls are directed professionally and efficiently to appropriate staff while maintaining a pleasant and helpful demeanor.
* Referral Intake\\- Coordinate and communicate all aspects and processes of new admissions, to include DME coordination in a timely manner.
* Verifies Insurance benefits and documents in notes section of the patient’s chart. Additionally, per certify initial insurance coverage; enters patient information regarding authorizations/coverage approval.
* Follow\\-up coordination for all referrals and maintain detailed comprehensive documentation in EMR
* Follow\\-up customer service calls for referrals and patients
* Monitor and Schedule visits nursing visits and other discipline visits, as needed for patient in EMR
* Process Plan of Care, physician orders and communication notes in a timely manner
* Provide effective communication to patient/family, team members, and other health care professionals and maintains confidentiality.
* Provide excellent customer service to patients/family, team members and other health care professionals
* Demonstrate commitment, professional growth and competency.
* Provide computer support and data entry
* Perform other duties as assigned.


Equal Employment Opportunity:
Traditions Health is an equal opportunity employer that is committed to diversity and inclusion in the workplace. We prohibit discrimination of any kind based on race, color, sexual orientation, national origin, disability, genetic information, pregnancy or any other legally protected characteristic.","","https://www.glassdoor.com/Overview/W-EI_IE1023433.htm","https://media.glassdoor.com/sql/1023433/traditions-health-care-squarelogo-1573127050192.png","","","","",""
"go-DFJ02Pwi-1USgxeyAAAAAA==","google","https://www.linkedin.com/jobs/view/travel-ultrasound-%241-611-to-%241-765-per-week-in-nashville-tn-at-alliedtravelcareers-4156140175?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Travel Ultrasound - $1,611 to $1,765 per week in Nashville, TN","AlliedTravelCareers","Nashville, TN","2025-02-10","","description","monthly",1610.0,1764.0,"USD",False,"","","","","AlliedTravelCareers is working with AMN Healthcare Allied to find a qualified Ultrasound in NASHVILLE, Tennessee, 37203!

Pay Information

$1,611 to $1,765 per week

About The Position

Job Description & Requirements

Cardiovascular Non-Invasive Technologist - Echo Sonographer - (Cardiac - Echo - Sonography - Sono)

StartDate: ASAP Available Shifts: 9.5 D Pay Rate: $1610.67 - $1764.88

Echo Tech needed ASAPType of equipment : Philips EpiqDocumentation system: MERGE PACsARDMS, CCI, Experience in echocardiogram. 2 years experienceRequested Skill Set: Experienced in echocardiograms. Knowledge of pathology related to structural heart. Strain rate imaging and processing.Procedures performed on unit: TTE and TEE procedures.Galaxy Blue, Black, Red, or White scrubs.

Required Qualifications

ARDMS, CCI, Experience in echocardiogram. 2 years experience

Requested Skill Set: Experienced in echocardiograms. Knowledge of pathology related to structural heart. Strain rate imaging and processing.

State Lic not needed

Preferred Qualifications

none

Facility Location

Filled with Southern charm, scenic beauty, boot-scootin’ dance halls and country music at every turn, “Music City, USA” is always a fascinating destination. Traveling health care professionals who take an assignment in Nashville have the opportunity to enjoy the city’s lively music scene, historic attractions, local craft markets and festive clubs.

Job Benefits

Allied travel assignments are typically for 13 weeks and offer generous packages that include:
• Competitive pay rates
• Medical, Dental, Vision
• 401(k) and Flex Spending
• Life Insurance
• Accident and Short-term Disability Coverage
• Free Continuing Education
• Competitive Housing Deal
• Refer a friend and earn extra cash!

About The Company

At AMN Healthcare, we strive to be recognized as the most trusted, innovative, and influential force in helping healthcare organizations provide quality patient care that continually evolves to make healthcare more human, more effective, and more achievable.

cardiac sonographer, echo technologist, echo tech, echo sonographer, cardiac tech, echo, cardiovascular non invasive technologist, allied, allied health, healthcare, health care, hospital, sono

9856839EXPPLAT

Job Requirements

ARDMS, CCI, Experience in echocardiogram. 2 years experienceRequested Skill Set: Experienced in echocardiograms. Knowledge of pathology related to structural heart. Strain rate imaging and processing.State Lic not needed

Benefits

Allied travel assignments are typically for 13 weeks and offer generous packages that include:
• Competitive pay rates
• Medical, Dental, Vision
• 401(k) and Flex Spending
• Life Insurance
• Accident and Short-term Disability Coverage
• Free Continuing Education
• Competitive Housing Deal
• Refer a friend and earn extra cash!

About AMN Healthcare Allied

Embarking on an allied travel career with AMN Healthcare means a wealth of resources at your fingertips and a vast array of exciting opportunities across all allied healthcare disciplines, settings, and practice areas. Whatever your personal and professional goals are, AMN Healthcare is ready to build a partnership of success and match you with your dream allied travel assignment.

Beyond high-paying travel jobs, you have access to exceptional benefits that prioritize your well-being and professional growth. We take pride in being the nation’s leading allied staffing agency, ensuring top-tier assignments and unparalleled support for allied healthcare professionals nationwide.","","","","","","","",""
"go-v9eHpDAueyD1hPn3AAAAAA==","google","https://us.bebee.com/job/5e41d59115535285480f4da7f7b734d0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Early Intervention Specialist","State of Tennessee","Nashville, TN","2025-02-06","","","","","","",False,"","","","","As a Social Counselor 2 with the State of Tennessee, you will play a vital role in supporting individuals with disabilities and their families. Your primary responsibilities will include:
• Developing and implementing individualized service plans to address client needs and goals.
• Conducting regular home visits to monitor progress and make necessary adjustments to the service plan.
• Collaborating with other agencies and stakeholders to ensure comprehensive support for clients.","","","","","","","",""
"go-GH-VV-IN8iYDb5EwAAAAAA==","google","https://www.linkedin.com/jobs/view/remote-healthcare-scheduling-specialist-patient-focused-wfh-at-get-it-healthcare-4152355979?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Remote Healthcare Scheduling Specialist | Patient Focused WFH","Get It - Healthcare","Nashville, TN","2025-01-28","","","","","","",True,"","","","","Job Title: Healthcare Patient Scheduling Specialist - Remote | WFH

Job Overview

Are you dedicated to enhancing patient experiences and improving healthcare accessibility? Join our esteemed organization, recognized for its commitment to compassionate patient care. We are seeking a Healthcare Patient Scheduling Specialist to deliver exceptional support to patients and healthcare professionals in this full-time remote position, contributing to a dynamic, community-oriented team.

Key Responsibilities
• Provide empathetic and professional support to patients via telephone.
• Manage inbound calls, ensuring patients feel valued and understood.
• Utilize problem-solving abilities to address and resolve concerns effectively.
• Conduct outbound calls to facilitate appointment scheduling, follow-ups, and patient outreach initiatives.
• Collaborate with a proactive call center team to enhance overall patient engagement.
• Triage patient inquiries, directing them to the appropriate department or provider efficiently.
• Leverage knowledge of commercial health insurance and pertinent medical terminology.
• Maintain HIPAA compliance, safeguarding patient information.

Required Skills
• Minimum of one year of experience in a customer service or medical office environment.
• Acquaintance with medical office operations, scheduling, and patient communication protocols.
• Proficiency in MS Office, databases, and electronic health record (EHR) systems.
• Strong multitasking capabilities with adeptness in navigating multiple systems.
• Exceptional verbal and written communication skills with a patient-first mindset.
• Understanding of various insurance types, including commercial, Medicare, and Medicaid.
• Experience with AthenaHealth systems is preferred but not mandatory.

Qualifications
• A strong foundation in customer service principles and medical office procedures.
• Ability to work collaboratively in a fast-paced setting while upholding a positive attitude.

Career Growth Opportunities

Seize the opportunity to advance in a company that prioritizes professional development and nurtures career growth.

Company Culture And Values

Become part of a collaborative and fast-paced team that cherishes your contributions and fosters a culture of empathy and support.

Compensation And Benefits
• Salary: \\(21.00 - \\)30.00 per hour
• Comprehensive benefits package available after just 90 days.
• Flexible scheduling options for 8-hour shifts.

If you are a quick learner with a positive demeanor, eager to thrive in a dynamic environment, we encourage you to apply today and help us enhance the patient experience.

Employment Type: Full-Time","","","","","","","",""
"go-0gFm7R9UiXPuy3wqAAAAAA==","google","https://us.bebee.com/job/88ce1e8ea6efc7b0a272bc6dc46d4365?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Initiation Specialist","EPITEC","Nashville, TN","2025-01-28","","","","","","",False,"","","","","Job Overview
"">

We are seeking a skilled Project Manager to lead our Demand Management process and improve its reliability, velocity, and quality. This role requires strong collaboration and communication skills, as well as experience in project planning and management.

Key Responsibilities
"">
• Demand Intake and Prioritization
• Work with the Demand Manager to prioritize, size, approve, and assign a committed start date for new project requests based on delivery team availability.
• Project Initiation
• Create a project entry in MS Project Online and update master data to prepare approved projects for initiation.
• Resource Planning
• Update project resource plans based on estimated hours provided by each delivery team and collaborate with delivery team managers to secure named resources.
• Support Active Projects

Requirements
"">

• Bachelor's degree in a technical field or related field preferred.

We would consider candidates with a Master's degree.

• 5-7 years of experience in project planning and/or project management roles required.

Preferred Skills
"">

Top 4 Skills
"">

Communication

Accountability

Adaptability

Project Management Fundamentals

Additional Technical Skills
"">

MS Project Online

MS Office suite, including Sharepoint","","","","","","","",""
"go-hEKvS9aYGZJ5Kc35AAAAAA==","google","https://www.linkedin.com/jobs/view/remote-booking-agent-for-travel-enthusiasts-at-get-it-hospitality-4152358703?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Remote Booking Agent for Travel Enthusiasts","Get It - Hospitality","Nashville, TN","2025-01-28","","","","","","",True,"","","","","Join Our Esteemed Travel Agency as a Booking Agent - Remote

Are you driven by a passion for travel and a desire to help others craft memorable experiences? Our distinguished travel agency, with a legacy of over 70 years in delivering exceptional client service, is seeking motivated individuals to become vital members of our team as Travel Consultants.

Job Overview

In the role of Travel Consultant, you will be instrumental in understanding and fulfilling our clients’ travel aspirations, ensuring they embark on their ideal vacations and special events.

Key Responsibilities
• Organize and schedule itineraries and events to align with client needs.
• Coordinate comprehensive travel plans and accommodations.
• Research and identify travel options that meet clients’ budgets.
• Stay informed about the latest trends and offerings in the travel industry.
• Address any challenges that arise during the planning phase.
• Maintain meticulous records of bookings and ensure timely payment.
• Keep historical data of previous bookings for future reference.

Required Skills
• Strong communication and interpersonal abilities.
• Exceptional organizational skills and attention to detail.
• Ability to work autonomously while also thriving in a team environment.
• A proactive attitude toward learning and staying current in the travel sector.
• Proficiency in technology and computer skills.

Qualifications
• Applicants must be 18 years of age or older.
• A personal computer is required for remote work.
• A curiosity and commitment to learning and advancing in the travel and entertainment industry are essential.

Career Growth Opportunities

We are dedicated to your professional development and offer comprehensive training led by industry veterans. This role presents significant potential for personal growth and advancement as you engage with seasoned professionals in the field.

Company Culture And Values

We pride ourselves on fostering a supportive environment that values both teamwork and individual initiative. Our agency is committed to creating a dynamic workplace where collaboration and empowerment drive success.

Compensation And Benefits
• Competitive commission structure with no cap, allowing for unlimited earning potential.
• Access to a diverse range of suppliers for booking travel and events.
• Personal travel discounts to enhance your own travel experiences.
• Flexible remote working options, available part-time or full-time, to suit your lifestyle.

If you are excited to take the next step in your career within the travel industry, we invite you to apply today! Join our team and contribute to our ongoing legacy of curating exceptional travel experiences.

Employment Type: Full-Time","","","","","","","",""
"in-32b8a1d57390d52d","indeed","https://www.indeed.com/viewjob?jk=32b8a1d57390d52d","https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Nashville/Full-Time-Business-Development-Specialist-Nashville--TN-2025_548357/?source=Indeed","Full Time-Business Development Specialist-Nashville, TN-2025","Philips","Nashville, TN, US","2025-02-17","fulltime","direct_data","hourly",24.0,28.0,"USD",False,"","","","","### **Job Title**


Full Time\\-Business Development Specialist\\-Nashville, TN\\-2025### **Job Description**


The goal of a General Sales Support is to take a prospective lead, generate interest to customer, qualify the lead using the budget, authority, need, timeframe approach.  

  

Your role:

* Responsible for generating and qualifying sales leads/opportunities for PCMS (Patient Care Monitoring Systems, IS (Imaging Systems) and Ultrasound products.
* Builds relationships with prospective customers with the primary focus on lead generation and the development of new and existing accounts
* Uncover ways to raise brand awareness for Philips product portfolio and gain account intelligence for new/existing accounts including: current equipment, number of units, decision maker and future plans
* Responsible for managing the Philips relationship with customers and independently drive account needs or problems through resolution

  

You're the right fit if:  

* Bachelor's degree in business and customer service skills.
* Possess a very strong phone presence for taking inbound calls and making outbound cold calls as well as collaborating with internal stakeholders
* Ability to apply persuasive selling skills via telephone to address customer needs and Ability to build relationships with key decision makers.
* Presentation, Planning, and Organizational skills and Experience using CRM tools such as Salesforce or equivalent helpful but not necessary. Skills with Microsoft Office Suite: Word, Excel, Outlook, and Power Point
* You must be able to successfully perform the following minimum Physical, Cognitive and Environmental job requirements with or without accommodation for this position.

  

How we work together:  

We believe that we are better together than apart. For our office\\-based teams, this means working in\\-person at least 3 days per week. Onsite roles require full\\-time presence in the company’s facilities. Field roles are most effectively done outside of the company’s main facilities, generally at the customers’ or suppliers’ locations.  

  

This is an office role.  

  

About Philips:  

We are a health technology company. We built our entire company around the belief that every human matters, and we won't stop until everybody everywhere has access to the quality healthcare that we all deserve. Do the work of your life to help improve the lives of others.  

  

* Learn more about our business.
* Discover our rich and exciting history.
* Learn more about our purpose.
* Learn more about our commitment to diversity and inclusion.

  

Philips Transparency Details:  

The hourly pay range for this position is $24 to $28\\.00, plus overtime eligible. The actual base pay offered may vary depending on multiple factors including job\\-related knowledge/skills, experience, business needs, geographical location, and internal equity.  

  

In addition, other compensation, such as an annual incentive bonus, sales commission or long\\-term incentives may be offered. Employees are eligible to participate in our comprehensive Philips Total Rewards benefits program, which includes a generous PTO, 401k (up to 7% match), HSA (with company contribution), stock purchase plan, education reimbursement and much more. Details about our benefits can be found here.  

  

Additional Information:  

